Drug1	Drug2	cell	synergy	fold
RALOXIFENE	TRETINOIN	UACC257	2.97	4
CYTARABINE HYDROCHLORIDE	DOCETAXEL	MDAMB231	-1.75	2
TAMOXIFEN CITRATE	MITOTANE	PC3	4.25	2
AZACYTIDINE	DASATINIB	BT549	-6.13	2
LAPATINIB	TOPOTECAN HYDROCHLORIDE	OVCAR4	-0.72	0
LETROZOLE	FULVESTRANT	ACHN	5.98	1
ANASTROZOLE	QUINACRINE HYDROCHLORIDE	HCT15	-3.1	2
HYDROXYUREA	ALLOPURINOL	NCIH460	0.43	2
FLUDARABINE BASE	LAPATINIB	IGROV1	-2.64	3
BLEOMYCIN	ANASTROZOLE	HT29	-1.0	0
BLEOMYCIN	IMIQUIMOD	RPMI8226	-6.66	0
LETROZOLE	ARSENIC TRIOXIDE	HT29	1.67	0
IMIQUIMOD	ARSENIC TRIOXIDE	A498	0.03	0
SUNITINIB	AMIFOSTINE	SKMEL5	-2.13	1
CELECOXIB	IMATINIB	COLO205	-2.82	0
FULVESTRANT	TOPOTECAN HYDROCHLORIDE	HS578T	-2.16	2
LAPATINIB	SUNITINIB	SKMEL28	12.63	1
LOMUSTINE	DASATINIB	OVCAR4	-5.55	2
DASATINIB	MERCAPTOPURINE	HCT116	23.51	4
CYTARABINE HYDROCHLORIDE	IXABEPILONE	MDAMB468	-9.0	0
CRIZOTINIB	MERCAPTOPURINE	SKMEL2	4.69	1
DOCETAXEL	TOPOTECAN HYDROCHLORIDE	U251MG	-4.52	1
BLEOMYCIN	SORAFENIB	NCIH226	-3.36	1
HYDROXYUREA	ANASTROZOLE	RPMI8226	4.75	0
DASATINIB	IMIQUIMOD	SF295	-0.2	2
TRETINOIN	IXABEPILONE	K562	1.53	0
METHOTREXATE	NILOTINIB	MDAMB231	-2.68	1
LAPATINIB	ALLOPURINOL	U251MG	-3.87	1
ZOLEDRONIC ACID	IXABEPILONE	NCIH322	1.12	4
THALIDOMIDE	CARMUSTINE	NCIH226	-4.93	2
MERCAPTOPURINE	THALIDOMIDE	IGROV1	-1.01	4
METHOTREXATE	QUINACRINE HYDROCHLORIDE	ACHN	-0.3	0
PACLITAXEL	METHOTREXATE	MOLT4	0.3	1
FULVESTRANT	SORAFENIB	HCT15	2.89	1
PRALATREXATE	METHOTREXATE	786O	-0.57	2
IMATINIB	HYDROXYUREA	KM12	0.34	4
LOMUSTINE	AMIFOSTINE	SNB19	-2.97	3
LAPATINIB	SORAFENIB	LOXIMVI	0.48	3
LETROZOLE	MITOTANE	KM12	-4.93	3
PACLITAXEL	DASATINIB	SF295	-0.24	2
TAMOXIFEN CITRATE	DOCETAXEL	A549	27.69	2
FULVESTRANT	TOPOTECAN HYDROCHLORIDE	UACC257	-3.74	3
TAMOXIFEN CITRATE	IMATINIB	LOXIMVI	-3.91	0
NILOTINIB	SORAFENIB	SKMEL5	-5.11	2
LENALIDOMIDE	AMIFOSTINE	NCIH226	5.64	1
TAMOXIFEN CITRATE	ARSENIC TRIOXIDE	SW620	-2.11	1
NILOTINIB	FULVESTRANT	DU145	-1.59	3
ZOLEDRONIC ACID	QUINACRINE HYDROCHLORIDE	SKMEL28	-0.69	4
PACLITAXEL	ERLOTINIB HYDROCHLORIDE	SF295	-1.18	3
ANASTROZOLE	MERCAPTOPURINE	RPMI8226	-4.39	4
THALIDOMIDE	ARSENIC TRIOXIDE	OVCAR8	0.01	1
FLUDARABINE BASE	TRETINOIN	BT549	-3.08	0
DAUNORUBICIN HYDROCHLORIDE	BLEOMYCIN	HCT15	0.57	1
THALIDOMIDE	CARMUSTINE	DU145	-3.08	4
FULVESTRANT	METHOTREXATE	OVCAR8	-7.13	0
SORAFENIB	ANASTROZOLE	786O	0.91	1
RALOXIFENE	ABIRATERONE	SW620	-0.6	1
THALIDOMIDE	ERLOTINIB HYDROCHLORIDE	HCT116	-3.45	3
AZACYTIDINE	BLEOMYCIN	K562	2.1	2
SORAFENIB	METHOTREXATE	SNB19	5.04	2
ZOLEDRONIC ACID	IMIQUIMOD	HCT15	2.33	4
MERCAPTOPURINE	BORTEZOMIB	UACC257	-3.35	1
MERCAPTOPURINE	ALLOPURINOL	PC3	-3.43	2
CYTARABINE HYDROCHLORIDE	ANASTROZOLE	CAKI1	3.18	3
LAPATINIB	IXABEPILONE	SKOV3	1.24	0
SUNITINIB	MITOTANE	U251MG	5.43	2
FULVESTRANT	ARSENIC TRIOXIDE	HCT15	-3.33	3
RALOXIFENE	CABAZITAXEL	NCIH23	5.63	1
PACLITAXEL	PRALATREXATE	HT29	3.59	4
RALOXIFENE	MITOXANTRONE	COLO205	7.55	3
TAMOXIFEN CITRATE	HYDROXYUREA	NCIH322	1.0	0
TAMOXIFEN CITRATE	ERLOTINIB HYDROCHLORIDE	A498	-2.85	1
LETROZOLE	PACLITAXEL	NCIH322	3.3	1
CELECOXIB	LAPATINIB	DU145	7.9	1
AZACYTIDINE	IMIQUIMOD	MOLT4	7.35	0
TRETINOIN	ANASTROZOLE	A498	-7.93	2
BORTEZOMIB	ARSENIC TRIOXIDE	SF295	-1.63	2
MERCAPTOPURINE	BORTEZOMIB	HCT116	-3.88	4
FLUDARABINE BASE	AZACYTIDINE	COLO205	-5.09	1
PACLITAXEL	PRALATREXATE	SW620	-0.15	2
DOCETAXEL	ARSENIC TRIOXIDE	T47D	3.34	1
IMIQUIMOD	CARMUSTINE	HL60	-6.23	2
CELECOXIB	MITOTANE	MDAMB468	-0.46	0
RALOXIFENE	ALLOPURINOL	SKMEL5	7.19	2
TAMOXIFEN CITRATE	IXABEPILONE	SKMEL28	3.96	3
TOPOTECAN HYDROCHLORIDE	ERLOTINIB HYDROCHLORIDE	A549	-1.76	1
METHOTREXATE	THALIDOMIDE	HL60	2.65	1
FLUDARABINE BASE	BLEOMYCIN	UACC62	-3.89	3
ANASTROZOLE	METHOXSALEN	SKOV3	4.15	4
TRETINOIN	DOCETAXEL	MDAMB468	9.55	2
RALOXIFENE	IMATINIB	HCT15	7.95	4
MITOTANE	FULVESTRANT	A498	-1.43	3
LOMUSTINE	METHOTREXATE	HS578T	-3.78	1
IMATINIB	BORTEZOMIB	KM12	-3.35	2
CYTARABINE HYDROCHLORIDE	DOCETAXEL	NCIH522	1.28	1
CELECOXIB	SORAFENIB	NCIH460	-1.0	0
DOCETAXEL	IXABEPILONE	NCIH322	0.67	0
CYTARABINE HYDROCHLORIDE	TAMOXIFEN CITRATE	T47D	-5.46	4
PACLITAXEL	PRALATREXATE	SF295	-0.6	0
RALOXIFENE	AZACYTIDINE	SNB19	0.24	3
FLUDARABINE BASE	AZACYTIDINE	UACC257	-0.02	2
RALOXIFENE	METHOXSALEN	PC3	-0.71	3
MERCAPTOPURINE	IMIQUIMOD	OVCAR8	-3.5	2
MITOTANE	METHOTREXATE	RPMI8226	7.18	0
ANASTROZOLE	NILOTINIB	786O	-3.78	0
FULVESTRANT	METHOXSALEN	DU145	2.6	4
IMATINIB	LAPATINIB	RPMI8226	4.05	3
DASATINIB	IMIQUIMOD	CAKI1	-6.36	4
CELECOXIB	PRALATREXATE	U251MG	2.43	3
PACLITAXEL	DOCETAXEL	DU145	2.63	2
CYTARABINE HYDROCHLORIDE	METHOXSALEN	T47D	-4.52	4
CELECOXIB	QUINACRINE HYDROCHLORIDE	SW620	2.07	0
IMIQUIMOD	ERLOTINIB HYDROCHLORIDE	SF295	6.04	4
AZACYTIDINE	ANASTROZOLE	A498	-1.43	3
METHOXSALEN	AMIFOSTINE	HL60	-1.91	1
ANASTROZOLE	DOCETAXEL	UACC62	2.69	0
PRALATREXATE	METHOTREXATE	RPMI8226	-0.47	2
TOPOTECAN HYDROCHLORIDE	ERLOTINIB HYDROCHLORIDE	UACC257	-4.73	2
IMATINIB	ANASTROZOLE	MDAMB468	0.18	3
PACLITAXEL	MITOTANE	HS578T	-1.43	1
HYDROXYUREA	THALIDOMIDE	SW620	-3.01	1
FULVESTRANT	DOCETAXEL	MDAMB468	1.24	2
MERCAPTOPURINE	CARMUSTINE	OVCAR8	-5.9	4
TAMOXIFEN CITRATE	LAPATINIB	KM12	5.68	4
THALIDOMIDE	BORTEZOMIB	NCIH460	2.63	4
SORAFENIB	BORTEZOMIB	HS578T	-0.5	1
MITOTANE	CARMUSTINE	KM12	0.43	2
TENIPOSIDE	DASATINIB	COLO205	5.61	1
TRETINOIN	SUNITINIB	A549	-5.49	2
FLUDARABINE BASE	IMATINIB	SNB19	-5.31	1
LETROZOLE	FULVESTRANT	MOLT4	2.66	4
ANASTROZOLE	PRALATREXATE	MCF7	-0.82	4
ERLOTINIB HYDROCHLORIDE	ARSENIC TRIOXIDE	SKOV3	-4.6	0
IMATINIB	DOCETAXEL	786O	10.23	4
TRETINOIN	PRALATREXATE	RPMI8226	0.77	3
AMIFOSTINE	IXABEPILONE	MDAMB231	1.24	1
CELECOXIB	LAPATINIB	SNB19	3.66	0
ANASTROZOLE	METHOTREXATE	MALME3M	-0.81	0
RALOXIFENE	LETROZOLE	SKOV3	1.96	3
PACLITAXEL	LAPATINIB	HS578T	11.62	0
SORAFENIB	IMIQUIMOD	NCIH522	4.04	3
FLUDARABINE BASE	TAMOXIFEN CITRATE	OVCAR4	-1.67	4
CELECOXIB	MITOTANE	K562	-0.66	4
FLUDARABINE BASE	METHOXSALEN	HL60	-0.97	4
HYDROXYUREA	TOPOTECAN HYDROCHLORIDE	NCIH226	-6.49	1
TRETINOIN	PACLITAXEL	CAKI1	4.79	1
BLEOMYCIN	METHOXSALEN	CAKI1	0.99	3
DEXRAZOXANE	METHOTREXATE	IGROV1	-12.42	2
LAPATINIB	METHOXSALEN	MALME3M	6.64	4
SUNITINIB	MERCAPTOPURINE	SKMEL2	8.72	2
SORAFENIB	MITOTANE	NCIH322	1.6	2
TOPOTECAN HYDROCHLORIDE	BORTEZOMIB	SF295	-2.1	2
ANASTROZOLE	MERCAPTOPURINE	MALME3M	-6.23	4
AZACYTIDINE	ARSENIC TRIOXIDE	UACC62	0.1	2
ZOLEDRONIC ACID	ARSENIC TRIOXIDE	NCIH23	-3.9	3
LENALIDOMIDE	AMIFOSTINE	HCT116	-6.75	3
FLUDARABINE BASE	THALIDOMIDE	HS578T	-0.36	1
DEXRAZOXANE	BLEOMYCIN	SKMEL2	3.64	3
FULVESTRANT	MERCAPTOPURINE	NCIH226	-7.66	2
SUNITINIB	METHOTREXATE	NCIH322	-7.41	0
PEMETREXED	DASATINIB	HL60	4.75	3
DOCETAXEL	MITOTANE	MALME3M	1.31	2
BORTEZOMIB	ARSENIC TRIOXIDE	K562	0.82	3
LETROZOLE	PRALATREXATE	SF295	2.59	2
DOCETAXEL	BORTEZOMIB	MOLT4	-10.27	3
LENALIDOMIDE	AMIFOSTINE	HL60	-9.29	4
DASATINIB	ALLOPURINOL	786O	-3.7	3
LETROZOLE	ARSENIC TRIOXIDE	ACHN	-3.6	0
AZACYTIDINE	MITOTANE	T47D	-5.86	0
CYTARABINE HYDROCHLORIDE	QUINACRINE HYDROCHLORIDE	LOXIMVI	-6.15	4
TRETINOIN	MITOTANE	HS578T	-2.43	4
CELECOXIB	MITOTANE	OVCAR4	1.34	4
CELECOXIB	SUNITINIB	MOLT4	-3.45	0
PRALATREXATE	ERLOTINIB HYDROCHLORIDE	IGROV1	4.68	4
TAMOXIFEN CITRATE	DASATINIB	MDAMB231	-4.01	4
METHOTREXATE	NILOTINIB	SNB19	-1.42	3
IMATINIB	TOPOTECAN HYDROCHLORIDE	SKMEL2	1.54	3
CYTARABINE HYDROCHLORIDE	ANASTROZOLE	IGROV1	-0.61	0
ALLOPURINOL	CARMUSTINE	MALME3M	0.78	0
MITOXANTRONE	METHOTREXATE	T47D	-7.17	0
CELECOXIB	THALIDOMIDE	NCIH226	7.67	4
RALOXIFENE	VANDETANIB	CAKI1	-7.26	0
PRALATREXATE	ALLOPURINOL	IGROV1	-1.62	0
FLUDARABINE BASE	FULVESTRANT	MOLT4	-0.35	1
LETROZOLE	SORAFENIB	HS578T	-2.58	3
DASATINIB	ZOLEDRONIC ACID	BT549	-2.06	0
SUNITINIB	METHOXSALEN	A498	0.55	4
AZACYTIDINE	METHOTREXATE	U251MG	-0.75	4
SORAFENIB	BORTEZOMIB	KM12	-5.5	3
HYDROXYUREA	NILOTINIB	MALME3M	0.69	1
IMATINIB	ERLOTINIB HYDROCHLORIDE	MOLT4	7.67	2
MITOTANE	TOPOTECAN HYDROCHLORIDE	HCT116	-0.48	2
LAPATINIB	ARSENIC TRIOXIDE	SW620	0.77	1
CYTARABINE HYDROCHLORIDE	ALLOPURINOL	SKMEL28	-1.81	4
DACARBAZINE	BLEOMYCIN	SKOV3	-2.14	4
ALLOPURINOL	THALIDOMIDE	MALME3M	4.98	1
TAMOXIFEN CITRATE	MITOTANE	OVCAR8	1.07	4
LAPATINIB	HYDROXYUREA	SKOV3	-1.89	3
ANASTROZOLE	QUINACRINE HYDROCHLORIDE	HT29	1.57	4
RALOXIFENE	NILOTINIB	NCIH226	1.81	0
TAMOXIFEN CITRATE	BORTEZOMIB	BT549	9.41	1
PACLITAXEL	DASATINIB	RPMI8226	2.65	2
TAMOXIFEN CITRATE	MITOTANE	HL60	-8.9	4
RALOXIFENE	THALIDOMIDE	SKOV3	0.86	1
IMATINIB	AZACYTIDINE	DU145	-3.83	4
HYDROXYUREA	IXABEPILONE	ACHN	1.47	2
ANASTROZOLE	IXABEPILONE	OVCAR4	-0.08	2
DOCETAXEL	METHOTREXATE	HL60	2.0	4
LETROZOLE	IMATINIB	SKOV3	2.31	1
CYTARABINE HYDROCHLORIDE	DASATINIB	UACC257	-2.25	0
FLUDARABINE BASE	ANASTROZOLE	UACC257	0.95	1
THALIDOMIDE	METHOXSALEN	OVCAR4	2.23	3
HYDROXYUREA	THALIDOMIDE	NCIH23	-0.15	3
CELECOXIB	IMIQUIMOD	HS578T	-6.05	2
IMATINIB	FULVESTRANT	U251MG	-1.04	1
METHOTREXATE	TOPOTECAN HYDROCHLORIDE	A498	-3.3	4
SUNITINIB	HYDROXYUREA	IGROV1	-1.3	1
DOCETAXEL	ERLOTINIB HYDROCHLORIDE	K562	4.19	0
FULVESTRANT	ANASTROZOLE	U251MG	0.15	1
ANASTROZOLE	QUINACRINE HYDROCHLORIDE	A549	-1.78	2
NILOTINIB	ZOLEDRONIC ACID	MOLT4	4.64	1
MITOTANE	TOPOTECAN HYDROCHLORIDE	NCIH23	4.35	0
DACARBAZINE	AMIFOSTINE	SW620	13.6	3
THALIDOMIDE	ERLOTINIB HYDROCHLORIDE	HCT15	10.77	4
LAPATINIB	HYDROXYUREA	SKMEL28	2.41	4
METHOTREXATE	IMIQUIMOD	MALME3M	-2.1	0
PACLITAXEL	ARSENIC TRIOXIDE	NCIH460	0.73	0
CYTARABINE HYDROCHLORIDE	PACLITAXEL	A498	-12.18	4
SORAFENIB	THALIDOMIDE	NCIH522	1.03	0
FULVESTRANT	IXABEPILONE	HT29	2.39	4
CELECOXIB	ERLOTINIB HYDROCHLORIDE	MDAMB231	-1.37	4
TAMOXIFEN CITRATE	ANASTROZOLE	MOLT4	6.08	3
AZACYTIDINE	TOPOTECAN HYDROCHLORIDE	NCIH522	-11.22	2
ANASTROZOLE	QUINACRINE HYDROCHLORIDE	OVCAR4	-0.87	2
NILOTINIB	BORTEZOMIB	UACC257	2.92	2
AZACYTIDINE	THALIDOMIDE	HL60	1.64	2
BLEOMYCIN	THALIDOMIDE	SKMEL5	0.05	0
TAMOXIFEN CITRATE	HYDROXYUREA	UACC257	-2.36	0
RALOXIFENE	ZOLEDRONIC ACID	MDAMB231	-0.54	0
DEXRAZOXANE	AMIFOSTINE	OVCAR8	-2.94	0
GEFITINIB	DASATINIB	SKMEL5	-3.31	1
MERCAPTOPURINE	METHOXSALEN	HCT116	-0.94	0
RALOXIFENE	LOMUSTINE	NCIH226	0.88	0
QUINACRINE HYDROCHLORIDE	IXABEPILONE	UACC257	0.89	0
FULVESTRANT	ANASTROZOLE	A498	-0.23	1
DASATINIB	AMIFOSTINE	DU145	0.36	0
CYTARABINE HYDROCHLORIDE	AZACYTIDINE	UACC62	1.05	2
MITOTANE	AMIFOSTINE	MCF7	-3.07	0
IMIQUIMOD	IXABEPILONE	SKMEL28	0.45	1
DOCETAXEL	AMIFOSTINE	COLO205	-2.09	1
TAMOXIFEN CITRATE	ZOLEDRONIC ACID	HS578T	0.72	3
ANASTROZOLE	PRALATREXATE	SKMEL2	8.9	3
DAUNORUBICIN HYDROCHLORIDE	BLEOMYCIN	HT29	6.58	1
CELECOXIB	QUINACRINE HYDROCHLORIDE	BT549	-4.27	3
LAPATINIB	METHOTREXATE	NCIH23	4.75	1
RALOXIFENE	TOPOTECAN HYDROCHLORIDE	HT29	-3.26	2
RALOXIFENE	DAUNORUBICIN HYDROCHLORIDE	MOLT4	1.91	0
CYTARABINE HYDROCHLORIDE	DOCETAXEL	KM12	2.34	3
BLEOMYCIN	SORAFENIB	HT29	4.07	4
CYTARABINE HYDROCHLORIDE	LAPATINIB	MDAMB468	-8.74	4
RALOXIFENE	CARMUSTINE	UACC257	4.07	0
BLEOMYCIN	FULVESTRANT	SKMEL5	-8.65	1
RALOXIFENE	THALIDOMIDE	UACC62	1.06	2
BLEOMYCIN	CARMUSTINE	COLO205	4.51	3
PRALATREXATE	METHOXSALEN	SKMEL5	-2.26	1
BLEOMYCIN	THALIDOMIDE	LOXIMVI	0.71	4
TRETINOIN	PRALATREXATE	NCIH522	2.67	0
SUNITINIB	ZOLEDRONIC ACID	RPMI8226	0.86	3
TRETINOIN	PACLITAXEL	MALME3M	3.52	1
AZACYTIDINE	HYDROXYUREA	HCT116	1.71	0
BLEOMYCIN	SORAFENIB	PC3	-2.44	0
CYTARABINE HYDROCHLORIDE	THALIDOMIDE	RPMI8226	1.81	0
CYTARABINE HYDROCHLORIDE	ANASTROZOLE	SW620	-10.08	1
ZOLEDRONIC ACID	MERCAPTOPURINE	HCT116	2.06	2
TRETINOIN	ALLOPURINOL	SKMEL5	0.12	3
LETROZOLE	CELECOXIB	MOLT4	-2.33	1
ANASTROZOLE	IMIQUIMOD	NCIH23	9.92	2
CYTARABINE HYDROCHLORIDE	FULVESTRANT	ACHN	-0.22	2
PACLITAXEL	DASATINIB	MDAMB231	-4.74	2
IMATINIB	AZACYTIDINE	NCIH460	-0.97	1
PRALATREXATE	ARSENIC TRIOXIDE	HCT15	-1.71	3
ZOLEDRONIC ACID	PRALATREXATE	MDAMB468	-1.1	0
METHOXSALEN	IMIQUIMOD	MDAMB468	-0.65	4
THALIDOMIDE	TOPOTECAN HYDROCHLORIDE	MDAMB231	-12.26	0
MITOTANE	PRALATREXATE	UACC257	-0.09	2
CYTARABINE HYDROCHLORIDE	FLUDARABINE BASE	RPMI8226	-7.37	1
CELECOXIB	TOPOTECAN HYDROCHLORIDE	SKMEL28	-4.39	3
CYTARABINE HYDROCHLORIDE	SUNITINIB	MOLT4	6.32	2
TAMOXIFEN CITRATE	MITOTANE	UACC257	-3.85	4
ZOLEDRONIC ACID	CARMUSTINE	UACC257	-1.08	0
ZOLEDRONIC ACID	TOPOTECAN HYDROCHLORIDE	DU145	-2.99	2
RALOXIFENE	PRALATREXATE	HCT116	-0.61	0
FLUDARABINE BASE	QUINACRINE HYDROCHLORIDE	SKMEL5	-4.31	1
METHOTREXATE	ARSENIC TRIOXIDE	KM12	-2.61	4
FLUDARABINE BASE	QUINACRINE HYDROCHLORIDE	RPMI8226	-12.84	3
PACLITAXEL	SORAFENIB	NCIH522	0.11	3
DASATINIB	AMIFOSTINE	PC3	-2.41	0
ANASTROZOLE	ERLOTINIB HYDROCHLORIDE	MALME3M	0.87	3
IMATINIB	FULVESTRANT	OVCAR8	3.06	0
RALOXIFENE	MERCAPTOPURINE	U251MG	-4.84	1
SORAFENIB	PRALATREXATE	SF295	0.38	4
SUNITINIB	TOPOTECAN HYDROCHLORIDE	CAKI1	-6.98	1
TRETINOIN	BORTEZOMIB	HT29	0.02	3
LETROZOLE	FULVESTRANT	NCIH226	-1.11	0
FLUDARABINE BASE	BLEOMYCIN	HCT116	-0.1	4
TRETINOIN	ARSENIC TRIOXIDE	786O	3.54	4
RALOXIFENE	PRALATREXATE	COLO205	7.23	0
LETROZOLE	PACLITAXEL	UACC257	-1.24	0
LETROZOLE	BORTEZOMIB	HT29	1.54	4
BLEOMYCIN	TOPOTECAN HYDROCHLORIDE	T47D	0.37	3
CELECOXIB	AZACYTIDINE	HCT116	2.17	2
PACLITAXEL	QUINACRINE HYDROCHLORIDE	OVCAR4	-1.43	2
PACLITAXEL	AZACYTIDINE	LOXIMVI	-13.77	1
MEGESTROL ACETATE	BLEOMYCIN	COLO205	-1.78	3
PACLITAXEL	THALIDOMIDE	NCIH322	-0.85	1
PACLITAXEL	QUINACRINE HYDROCHLORIDE	ACHN	-7.9	3
IMIQUIMOD	AMIFOSTINE	SKOV3	-0.72	3
CYTARABINE HYDROCHLORIDE	ERLOTINIB HYDROCHLORIDE	MDAMB468	-5.12	3
ALLOPURINOL	BORTEZOMIB	OVCAR8	1.39	0
IMATINIB	TOPOTECAN HYDROCHLORIDE	NCIH322	-3.45	3
DAUNORUBICIN HYDROCHLORIDE	DASATINIB	SKOV3	1.99	3
DEXRAZOXANE	DASATINIB	DU145	-6.03	2
LENALIDOMIDE	DASATINIB	T47D	-2.88	3
TRETINOIN	ANASTROZOLE	SNB19	-0.74	0
METHOTREXATE	IMIQUIMOD	SNB19	1.15	3
DASATINIB	ANASTROZOLE	COLO205	6.59	2
LETROZOLE	TAMOXIFEN CITRATE	MALME3M	6.7	2
ZOLEDRONIC ACID	QUINACRINE HYDROCHLORIDE	CAKI1	-1.5	4
RALOXIFENE	MERCAPTOPURINE	HL60	3.71	2
PEMETREXED	METHOTREXATE	K562	-6.22	4
METHOTREXATE	CELECOXIB	MDAMB231	10.34	3
TRETINOIN	DASATINIB	HCT15	5.07	2
MERCAPTOPURINE	IXABEPILONE	SW620	-2.62	4
IXABEPILONE	ERLOTINIB HYDROCHLORIDE	OVCAR4	-3.68	3
NILOTINIB	DOCETAXEL	NCIH522	15.99	2
HYDROXYUREA	PRALATREXATE	UACC62	0.62	1
CELECOXIB	AMIFOSTINE	RPMI8226	5.57	1
DASATINIB	FULVESTRANT	MALME3M	2.87	1
ZOLEDRONIC ACID	ERLOTINIB HYDROCHLORIDE	KM12	-3.56	1
TOPOTECAN HYDROCHLORIDE	IXABEPILONE	SF295	0.26	0
ALLOPURINOL	ARSENIC TRIOXIDE	CAKI1	0.64	2
CELECOXIB	IMIQUIMOD	SNB19	0.09	2
HYDROXYUREA	BLEOMYCIN	NCIH226	3.17	0
SUNITINIB	MITOTANE	HT29	2.28	4
RALOXIFENE	CABAZITAXEL	MALME3M	4.92	1
LAPATINIB	IXABEPILONE	UACC62	4.45	4
RALOXIFENE	CELECOXIB	HS578T	2.76	4
TRETINOIN	ALLOPURINOL	MALME3M	-4.95	3
BLEOMYCIN	ARSENIC TRIOXIDE	K562	1.22	4
IMATINIB	AZACYTIDINE	SW620	-6.75	2
RALOXIFENE	TAMOXIFEN CITRATE	T47D	-5.64	2
IMATINIB	BLEOMYCIN	DU145	-3.12	2
TAMOXIFEN CITRATE	IXABEPILONE	DU145	6.52	3
TAMOXIFEN CITRATE	MERCAPTOPURINE	MALME3M	-3.63	2
RALOXIFENE	DACARBAZINE	MOLT4	5.83	1
AMIFOSTINE	BORTEZOMIB	CAKI1	1.17	4
CELECOXIB	MERCAPTOPURINE	MALME3M	-2.42	2
CYTARABINE HYDROCHLORIDE	ARSENIC TRIOXIDE	NCIH522	-4.34	4
ANASTROZOLE	METHOXSALEN	A498	1.53	3
NILOTINIB	ARSENIC TRIOXIDE	KM12	-9.35	4
DOCETAXEL	BORTEZOMIB	SF295	-5.45	0
PACLITAXEL	ERLOTINIB HYDROCHLORIDE	PC3	3.9	0
DEXRAZOXANE	LAPATINIB	MALME3M	1.44	3
METHOTREXATE	TOPOTECAN HYDROCHLORIDE	SKOV3	-13.86	0
RALOXIFENE	MERCAPTOPURINE	K562	3.92	3
LETROZOLE	TRETINOIN	CAKI1	-5.4	2
SUNITINIB	IXABEPILONE	T47D	7.04	4
CYTARABINE HYDROCHLORIDE	FLUDARABINE BASE	A498	-6.64	1
DASATINIB	ARSENIC TRIOXIDE	HS578T	0.32	4
FLUDARABINE BASE	SORAFENIB	SW620	3.92	2
RALOXIFENE	THALIDOMIDE	CAKI1	-4.58	2
IMATINIB	ZOLEDRONIC ACID	A498	1.36	0
RALOXIFENE	BORTEZOMIB	ACHN	3.69	0
LOMUSTINE	AMIFOSTINE	HCT15	-3.51	1
AZACYTIDINE	METHOTREXATE	UACC257	-0.61	4
DASATINIB	SUNITINIB	KM12	0.8	1
LETROZOLE	AZACYTIDINE	MOLT4	28.35	0
MITOTANE	THALIDOMIDE	LOXIMVI	-2.14	2
RALOXIFENE	RUXOLITINIB	MALME3M	0.17	2
AZACYTIDINE	AMIFOSTINE	RPMI8226	-0.93	0
TRETINOIN	BORTEZOMIB	NCIH23	-3.88	2
PACLITAXEL	ALLOPURINOL	NCIH226	1.54	1
MERCAPTOPURINE	THALIDOMIDE	DU145	-1.29	3
CELECOXIB	BORTEZOMIB	DU145	3.49	3
RALOXIFENE	IXABEPILONE	SF295	-2.07	1
LAPATINIB	SORAFENIB	A549	-0.49	3
TRETINOIN	MITOTANE	U251MG	2.59	3
DEXRAZOXANE	BLEOMYCIN	RPMI8226	2.13	1
NILOTINIB	IXABEPILONE	MALME3M	1.29	3
NILOTINIB	IMIQUIMOD	OVCAR8	1.58	4
CYTARABINE HYDROCHLORIDE	ARSENIC TRIOXIDE	SKMEL2	-8.1	2
METHOTREXATE	CELECOXIB	SKMEL28	13.76	2
SORAFENIB	QUINACRINE HYDROCHLORIDE	PC3	-4.58	4
TRETINOIN	DOCETAXEL	UACC62	11.51	4
IMATINIB	AZACYTIDINE	ACHN	-1.9	4
IMATINIB	AZACYTIDINE	HS578T	0.99	2
SORAFENIB	METHOTREXATE	COLO205	-0.51	1
DOCETAXEL	DASATINIB	NCIH23	-1.63	4
ZOLEDRONIC ACID	AMIFOSTINE	DU145	0.82	0
CYTARABINE HYDROCHLORIDE	TOPOTECAN HYDROCHLORIDE	NCIH522	-9.99	3
PACLITAXEL	IMIQUIMOD	ACHN	-4.04	3
DASATINIB	METHOTREXATE	LOXIMVI	0.35	0
5-FU	AMIFOSTINE	HL60	-7.4	1
SORAFENIB	METHOXSALEN	SF295	-0.38	2
RALOXIFENE	FULVESTRANT	SW620	5.75	0
IMATINIB	FULVESTRANT	MDAMB468	-3.47	4
FULVESTRANT	SORAFENIB	MCF7	0.12	0
DOCETAXEL	LAPATINIB	SKOV3	-1.28	4
DOCETAXEL	BORTEZOMIB	MDAMB468	-5.61	2
LAPATINIB	FULVESTRANT	COLO205	-2.74	4
IXABEPILONE	ARSENIC TRIOXIDE	SF295	-1.43	3
MERCAPTOPURINE	ERLOTINIB HYDROCHLORIDE	SF295	1.03	3
FLUDARABINE BASE	CARMUSTINE	ACHN	-2.32	0
PRALATREXATE	CARMUSTINE	HCT116	-1.91	1
ZOLEDRONIC ACID	BLEOMYCIN	SKMEL28	-1.37	3
BLEOMYCIN	ERLOTINIB HYDROCHLORIDE	MDAMB468	-3.81	1
IMIQUIMOD	AMIFOSTINE	MDAMB231	-3.16	1
METHOTREXATE	CELECOXIB	NCIH322	-0.52	1
DEXRAZOXANE	BLEOMYCIN	DU145	-4.48	4
DOCETAXEL	SORAFENIB	SKOV3	1.76	3
AZACYTIDINE	SUNITINIB	BT549	-7.24	4
AZACYTIDINE	CARMUSTINE	NCIH460	-1.03	4
LAPATINIB	ALLOPURINOL	MDAMB468	-7.04	0
